id,manufacturer,dtc,description
829,chevorlet,P1140,HO2S Transition Time Ratio Bank 1 Sensor 2
830,chevorlet,P1141,HO2S Heater Control Circuit Bank 1 Sensor 2
831,chevorlet,P1143,HO2S Bank 1 Sensor 3 Lean System or Low Voltage
832,chevorlet,P1144,HO2S Bank 1 Sensor 3 Rich or High Voltage
833,chevorlet,P1145,HO2S Cross Counts Bank 1 Sensor 3
834,chevorlet,P1153,HO2S Insufficient Switching Bank 2 Sensor 1
835,chevorlet,P1154,HO2S Transition Time Ratio Bank 2 Sensor 1
836,chevorlet,P1155,HO2S Lean Mean Bank 2 Sensor 1
837,chevorlet,P1156,HO2S Rich Mean Bank 2 Sensor 1
838,chevorlet,P1157,HO2S Bank 2 Sensor 2 Lean System or Low Voltage
839,chevorlet,P1158,HO2S Bank 2 Sensor 2 Rich or High Voltage
840,chevorlet,P1159,HO2S Cross Counts Bank 2 Sensor 2
841,chevorlet,P1161,HO2S Heater Control Circuit Bank 2 Sensor 2
842,chevorlet,P1163,HO2S Bank 2 Sensor 3 Lean System or Low Voltage
843,chevorlet,P1164,HO2S Bank 2 Sensor 3 Rich or High Voltage
844,chevorlet,P1165,HO2S Cross Counts Bank 2 Sensor 3
845,chevorlet,P1170,Bank to Bank Fuel TrimOffset
846,chevorlet,P1171,Fuel System Lean During Acceleration
847,chevorlet,P1185,Engine Oil Temperature Circuit
848,chevorlet,P1186,EOT Circuit Performance
849,chevorlet,P1187,EOT Sensor Ckt. Low Voltage
850,chevorlet,P1188,EOT Sensor Ckt. High Voltage
851,chevorlet,P1189,Engine Oil Pressure (EOP) Switch Circuit
852,chevorlet,P1190,Engine Vacuum Leak
853,chevorlet,P1191,Intake Air Duct Air Leak
854,chevorlet,P1200,Injector Control Circuit
855,chevorlet,P1201,(Alt. Fuel) Gas Mass Sensor Circuit Range/Performance
856,chevorlet,P1202,(Alt. Fuel) Gas Mass Sensor Circuit Low Frequency
857,chevorlet,P1203,(Alt. Fuel) Gas Mass Sensor Circuit High Frequency
858,chevorlet,P1211,Mass Air Flow Circuit Intermittent High
859,chevorlet,P1212,Mass Air Flow Circuit Intermittent Low
860,chevorlet,P1214,Injection Pump Timing Offset
861,chevorlet,P1215,Ground Fault Detection Indicated
862,chevorlet,P1216,Fuel Solenoid Response Time Too Short
863,chevorlet,P1217,Fuel Solenoid Response Time Too Long
864,chevorlet,P1218,Injection Pump Calibration Circuit
865,chevorlet,P1219,Throttle Position Sensor Reference Voltage
866,chevorlet,P1220,Throttle Position (TP) Sensor 2 Circuit
867,chevorlet,P1221,Fuel Pump Secondary Circuit Low
868,chevorlet,P1222,Injector Control Circuit Intermittent
869,chevorlet,P1225,Injector Circuit Cylinder 2 Intermittent
870,chevorlet,P1228,Injector Circuit Cylinder 3 Intermittent
871,chevorlet,P1231,Injector Circuit Cylinder 4 Intermittent
872,chevorlet,P1234,Injector Circuit Cylinder 5 Intermittent
873,chevorlet,P1237,Injector Circuit Cylinder 6 Intermittent
874,chevorlet,P1240,Injector Circuit Cylinder 7 Intermittent
875,chevorlet,P1243,Injector Circuit Cylinder 8 Intermittent
876,chevorlet,P1245,Intake Plenum Switchover Valve
877,chevorlet,P1250,Early Fuel Evaporation Heater Circuit
878,chevorlet,P1257,Supercharger System Overboost
879,chevorlet,P1258,Engine Coolant Overtemperature - Protection Mode Active
880,chevorlet,P1260,Last Test Failed Failed SCC ENTER:More Info.
881,chevorlet,P1270,Accelerator Pedal Position Sensor A/D Converter Error
882,chevorlet,P1271,Accelerator Pedal Position (APP) Sensor 1-2 Correlation
883,chevorlet,P1272,Accelerator Pedal Position Sensor 2
884,chevorlet,P1273,Accelerator Pedal Position Sensor 1
885,chevorlet,P1274,Injectors Wired Incorrectly
886,chevorlet,P1275,Accelerator Pedal Position (APP) Sensor 1 Circuit
887,chevorlet,P1276,Accelerator Pedal Position Sensor 1 Circuit Performance
888,chevorlet,P1277,Accelerator Pedal Position Sensor 1 Circuit Low Voltage
889,chevorlet,P1278,Accelerator Pedal Position Sensor 1 Circuit High Voltage
890,chevorlet,P1280,Accelerator Pedal Position (APP) Sensor 2 Circuit
891,chevorlet,P1281,Accelerator Pedal Position Sensor 2 Circuit Performance
892,chevorlet,P1282,Accelerator Pedal Position Sensor 2 Circuit Low Voltage
893,chevorlet,P1283,Accelerator Pedal Position Sensor 2 Circuit High Voltage
894,chevorlet,P1285,Accelerator Pedal Position Sensor 3 Circuit
895,chevorlet,P1286,Accelerator Pedal Position Sensor 3 Circuit Performance
896,chevorlet,P1287,Accelerator Pedal Position Sensor 3 Circuit Low Voltage
897,chevorlet,P1288,Accelerator Pedal Position Sensor 3 Circuit High Voltage
898,chevorlet,P1300,Ignitor Circuit
899,chevorlet,P1305,Ignition Coil 2 Primary Feedback Circuit
900,chevorlet,P1310,Ignition Coil 3 Primary Feedback Circuit
901,chevorlet,P1315,Ignition Coil 4 Primary Feedback Circuit
902,chevorlet,P1320,IC 4X Reference Circuit Intermittent
903,chevorlet,P1321,Electronic Ignition System Fault Line
904,chevorlet,P1322,EI System or Ignition Control Extra or Missing
905,chevorlet,P1323,IC 24X Reference Circuit Low Frequency
906,chevorlet,P1324,Crank RPM Too Low
907,chevorlet,P1335,CKP Circuit
908,chevorlet,P1336,Crankshaft Position (CKP) System Variation Not Learned
909,chevorlet,P1345,Crankshaft Position (CKP)-Camshaft Position (CMP) Correlation
910,chevorlet,P1346,Intake Camshaft Position [CMP] Sensor System Performance
911,chevorlet,P1350,Ignition Control System
912,chevorlet,P1351,Ignition Coil Control Circuit High Voltage
913,chevorlet,P1352,IC Output High/Pulse Detected when GND_Cyl. 2
914,chevorlet,P1353,IC Output High/Pulse Detected when GND_Cyl. 3
915,chevorlet,P1354,IC Output High/Pulse Detected when GND_Cyl. 4
916,chevorlet,P1355,IC Output High/Pulse Detected when GND_Cyl. 5
917,chevorlet,P1356,IC Output High/Pulse Detected when GND_Cyl. 6
918,chevorlet,P1357,IC Output High/Pulse Detected when GND_Cyl. 7
919,chevorlet,P1358,IC Output High/Pulse Detected when GND_Cyl. 8
920,chevorlet,P1359,Ignition Coil Group 1 Control Circuit
921,chevorlet,P1360,Ignition Coil Group 2 Control Circuit
922,chevorlet,P1361,Ignition Coil Control Circuit Low Voltage
923,chevorlet,P1362,IC Cylinder 2 Not Toggling After Enable
924,chevorlet,P1363,IC Cylinder 3 Not Toggling After Enable
925,chevorlet,P1364,IC Cylinder 4 Not Toggling After Enable
926,chevorlet,P1365,IC Cylinder 5 Not Toggling After Enable
927,chevorlet,P1366,IC Cylinder 6 Not Toggling After Enable
928,chevorlet,P1367,IC Cylinder 7 Not Toggling After Enable
929,chevorlet,P1368,IC Cylinder 8 Not Toggling After Enable
930,chevorlet,P1370,IC 4X Reference Circuit Too Many Pulses
931,chevorlet,P1371,IC 4X Reference Circuit Too Few Pulses
932,chevorlet,P1372,Crankshaft Position (CKP) Sensor A-B Correlation
933,chevorlet,P1374,3X Reference Circuit
934,chevorlet,P1375,IC 24X Reference Circuit High Voltage
935,chevorlet,P1376,Ignition Ground Circuit
936,chevorlet,P1377,IC Cam Pulse To 4X Reference Pulse
937,chevorlet,P1380,Misfire Detected - Rough Road Data Not Available
938,chevorlet,P1381,Misfire Detected - No Communication with Brake ControlModule
939,chevorlet,P1390,Wheel Speed Sensor 1 - G - Sensor Circuit
940,chevorlet,P1391,Wheel Speed Sensor 1 - G - Sensor Circuit Performance
941,chevorlet,P1392,Wheel Speed Sensor 1 - G - Sensor Circuit Low Voltage
942,chevorlet,P1393,Wheel Speed Sensor 1 - G - Sensor Circuit High Voltage
943,chevorlet,P1394,Wheel Speed Sensor 1 - G - Sensor Circuit Intermittent
944,chevorlet,P1395,Wheel Speed Sensor 2 - G - Sensor Circuit
945,chevorlet,P1396,Wheel Speed Sensor 2 - G - Sensor Circuit Performance
946,chevorlet,P1397,Wheel Speed Sensor 2 - G - Sensor Circuit Low Voltage
947,chevorlet,P1398,Wheel Speed Sensor 2 - G - Sensor Circuit High Voltage
948,chevorlet,P1399,Wheel Speed Sensor 2 - G - Sensor Circuit Intermittent
949,chevorlet,P1403,Exhaust Gas Recirculation System Valve 1
950,chevorlet,P1404,Exhaust Gas Recirculation (EGR) Closed PositionPerformance
951,chevorlet,P1405,Exhaust Gas Recirculation System Valve 3
952,chevorlet,P1406,EGR Valve Pintle Position Circuit
953,chevorlet,P1407,EGR Air Intrusion in Exhaust Supply to EGR Valve
954,chevorlet,P1408,Intake Manifold Pressure Sensor Circuit
955,chevorlet,P1409,EGR Vacuum System Leak
956,chevorlet,P1410,Fuel Tank Pressure System
957,chevorlet,P1415,Secondary Air Injection (AIR) System Bank 1
958,chevorlet,P1416,Secondary Air Injection (AIR) System Bank 2
959,chevorlet,P1418,Secondary Air Injection System Relay A Control CircuitHigh
960,chevorlet,P1420,Intake Air Low Pressure Switch Circuit Low Voltage
961,chevorlet,P1421,Intake Air Low Pressure Switch Circuit High Voltage
962,chevorlet,P1423,Intake Air High Pressure Switch Circuit High Voltage
963,chevorlet,P1431,Fuel Level Sensor 2 Circuit Performance
964,chevorlet,P1432,Fuel Level Sensor 2 Circuit Low Voltage
965,chevorlet,P1433,Fuel Level Sensor 2 Circuit High Voltage
966,chevorlet,P1441,Evaporative Emission (EVAP) System Flow During Non-Purge
967,chevorlet,P1442,EVAP Vacuum Sw. High Voltage During Ign. On
968,chevorlet,P1450,Barometric Pressure Sensor Circuit
969,chevorlet,P1451,Barometric Press. Sensor Performance
970,chevorlet,P1480,Cooling Fan 1 Control Circuit High
971,chevorlet,P1483,Engine Cooling System Performance
972,chevorlet,P1500,Starter Signal Circuit
973,chevorlet,P1502,Theft Deterrent Fuel Enable Signal Not Received
974,chevorlet,P1503,Theft Deterrent Fuel Enable Signal Not Correct
975,chevorlet,P1504,Vehicle Speed Output Circuit
976,chevorlet,P1508,Idle Speed Low - Idle Air Control (IAC) System NotResponding
977,chevorlet,P1509,Idle Speed High - Idle Air Control (IAC) System NotResponding
978,chevorlet,P1510,Throttle Control System Performance - Throttle LimitationActive
979,chevorlet,P1511,Throttle Control System - Backup System Performance
980,chevorlet,P1514,Airflow to TP Sensor Correlation High
981,chevorlet,P1515,Electronic Throttle System Throttle Position
982,chevorlet,P1516,Throttle Actuator Control (TAC) Module Throttle ActuatorPosition Performance
983,chevorlet,P1517,Electronic Throttle Module
984,chevorlet,P1518,Electronic Throttle Module to PCM Communication
985,chevorlet,P1519,Throttle Actuator Control (TAC) Module Internal Circuit
986,chevorlet,P1520,Transmission Range Switch Circuit
987,chevorlet,P1521,Transmission Engaged at High Throttle Angle
988,chevorlet,P1522,Park/Neutral to Drive/Reverse at High RPM
989,chevorlet,P1523,Throttle Closed Position Performance
990,chevorlet,P1524,Throttle Closed Position Performance
991,chevorlet,P1525,Throttle Body ServiceRequired
992,chevorlet,P1526,Minimum Throttle Position Not Learned
993,chevorlet,P1527,Transmission Range to Pressure Switch Correlation
994,chevorlet,P1528,Governor
995,chevorlet,P1529,Heated Windshield Request Problem
996,chevorlet,P1530,Throttle Actuator Control (TAC) Module Internal Circuit
997,chevorlet,P1531,A/C Low Side Temperature Sensor Fault
998,chevorlet,P1532,A/C Evaporator Temp. Sens. Ckt. Low Voltage
999,chevorlet,P1533,A/C Evaporator Temp. Sens. Ckt. High Voltage
1000,chevorlet,P1534,A/C High Side Temp. Sensor Low Voltage
1001,chevorlet,P1535,A/C High Side Temperature Sensor Circuit
1002,chevorlet,P1536,Engine Coolant Overtemperature - Air Conditioning (A/C)Disabled
1003,chevorlet,P1537,A/C Request Circuit Low Voltage
1004,chevorlet,P1538,A/C Request Circuit High Voltage
1005,chevorlet,P1539,A/C Clutch Status Circuit High Voltage
1006,chevorlet,P1540,Air Conditioning (A/C) Refrigerant Overpressure - AirConditioning (A/C) Disabled
1007,chevorlet,P1541,A/C High Side Over Temperature
1008,chevorlet,P1542,A/C System High Pressure High Temperature
1009,chevorlet,P1543,A/C System Performance
1010,chevorlet,P1544,A/C Refrigerant Condition Very Low
1011,chevorlet,P1545,Air Conditioning (A/C) Clutch Relay Control Circuit
1012,chevorlet,P1546,A/C Clutch Status Circuit Low Voltage
1013,chevorlet,P1547,A/C System Performance Degraded
1014,chevorlet,P1548,A/C Recirculation Circuit
1015,chevorlet,P1554,Cruise Control Feedback Circuit
1016,chevorlet,P1555,Electronic Variable Orifice Output
1017,chevorlet,P1558,Cruise Control Servo Indicates Low
1018,chevorlet,P1559,Cruise Control Power Management Mode
1019,chevorlet,P1560,Transaxle Not in Drive - Cruise Control Disabled
1020,chevorlet,P1561,Cruise Vent Solenoid
1021,chevorlet,P1562,Cruise Vacuum Solenoid
1022,chevorlet,P1563,Cruise Vehicle Speed/Set Speed Difference Too High
1023,chevorlet,P1564,Vehicle Acceleration Too High - Cruise Control Disabled
1024,chevorlet,P1565,Cruise Servo Position Sensor
1025,chevorlet,P1566,Engine RPM Too High - Cruise Control Disabled
1026,chevorlet,P1567,Active Banking Control Active - Cruise Control Disabled
1027,chevorlet,P1568,Cruise Servo Stroke Greater than Commanded in Cruise
1028,chevorlet,P1569,Cruise Servo Stroke High While not in Cruise
1029,chevorlet,P1570,Traction Control Active - Cruise Control Disabled
1030,chevorlet,P1571,Traction Control Torque Request Circuit
1031,chevorlet,P1572,ASR Active Circuit Low Too Long
1032,chevorlet,P1573,PCM/EBTCM Serial Data Circuit
1033,chevorlet,P1574,Stoplamp Switch Circuit
1034,chevorlet,P1575,Extended Travel Brake Switch Circuit
1035,chevorlet,P1576,BBV Sensor Ckt. High Voltage
1036,chevorlet,P1577,BBV Sensor Ckt. Low Voltage
1037,chevorlet,P1578,BBV Sensor Ckt. Low Vacuum
1038,chevorlet,P1579,P/N to D/R at High Throttle Angle - Power Reduction ModeActive
1039,chevorlet,P1580,Cruise Move Circuit Low Voltage
1040,chevorlet,P1581,Cruise Move Circuit High Voltage
1041,chevorlet,P1582,Cruise Direction Circuit Low Voltage
1042,chevorlet,P1583,Cruise Direction CircuitHigh Voltage
1043,chevorlet,P1584,Cruise Control Disabled
1044,chevorlet,P1585,Cruise Control Inhibit Output Circuit
1045,chevorlet,P1586,Cruise Control Brake Switch 2 Circuit
1046,chevorlet,P1587,Cruise Control Clutch Control Circuit Low
1047,chevorlet,P1588,Cruise Control Clutch Control Circuit High
1048,chevorlet,P1599,Engine Stall or Near Stall Detected
1049,chevorlet,P1600,TCM Internal Watchdog Operation
1050,chevorlet,P1601,Serial Comm. Problem With Device 1
1051,chevorlet,P1602,Knock Sensor (KS) Module Performance
1052,chevorlet,P1603,Loss of SDM Serial Data
1053,chevorlet,P1604,Loss of IPC Serial Data
1054,chevorlet,P1605,Loss of HVAC Serial Data
1055,chevorlet,P1606,Serial Communication Problem With Device 6
1056,chevorlet,P1607,Serial Communication Problem With Device 7
1057,chevorlet,P1608,Serial Communication Problem With Device 8
1058,chevorlet,P1609,Loss Of TCS Serial Data
1059,chevorlet,P1610,Loss of PZM Serial Data
1060,chevorlet,P1611,Loss of CVRTD Serial Data
1061,chevorlet,P1612,Loss of IPM Serial Data
1062,chevorlet,P1613,Loss of DIM Serial Data
1063,chevorlet,P1614,Loss of RIM Serial Data
1064,chevorlet,P1615,Loss of VTD Serial Data
1065,chevorlet,P1617,Engine Oil Level Switch Circuit
1066,chevorlet,P1619,Engine Oil Life Monitor Reset Circuit
1067,chevorlet,P1620,Low Coolant Circuit
1068,chevorlet,P1621,Control Module Long Term Memory Performance
1069,chevorlet,P1622,Cylinder Select
1070,chevorlet,P1623,Transmission Temp Pull-Up Resistor
1071,chevorlet,P1624,Customer Snapshot Requested - Data Available
1072,chevorlet,P1625,TCM System Reset
1073,chevorlet,P1626,Theft Deterrent Fuel Enable Signal Not Received
1074,chevorlet,P1627,A/D Performance
1075,chevorlet,P1628,ECT Pull-Up Resistor
1076,chevorlet,P1629,Theft Deterrent System - Cranking Signal
1077,chevorlet,P1630,Theft Deterrent Learn Mode Active
1078,chevorlet,P1631,Theft Deterrent Start Enable Signal Not Correct
1079,chevorlet,P1632,Theft Deterrent Fuel Disable Signal Received
1080,chevorlet,P1633,Ignition 0 Switch Circuit
1081,chevorlet,P1634,Ignition 1 Switch Circuit
1082,chevorlet,P1635,5 Volt Reference Circuit
1083,chevorlet,P1636,PCM Stack Overrun
1084,chevorlet,P1637,Generator L-Terminal Circuit
1085,chevorlet,P1638,Generator F-Terminal Circuit
1086,chevorlet,P1639,5 Volt Reference 2 Circuit
1087,chevorlet,P1640,Driver-1-Input High Voltage
1088,chevorlet,P1641,Malfunction Indicator Lamp (MIL) Control Circuit
1089,chevorlet,P1642,Vehicle Speed Output Circuit
1090,chevorlet,P1643,Engine Speed Output Circuit
1091,chevorlet,P1644,Traction Control Delivered Torque Output Circuit
1092,chevorlet,P1645,Evaporative Emission (EVAP) Vent Solenoid Contorl Circuit
1093,chevorlet,P1646,Evaporative Emission (EVAP) Vent Solenoid Control Circuit
1094,chevorlet,P1647,Driver 1 Line 7
1095,chevorlet,P1650,Control Module Output B Circuit
1096,chevorlet,P1651,Fan 1 Relay Control Circuit
1097,chevorlet,P1652,Powertrain Induced Chassis Pitch Output Circuit
1098,chevorlet,P1653,Oil Level Lamp Control Circuit
1099,chevorlet,P1654,Cruise Control Inhibit Output Circuit
1100,chevorlet,P1655,EVAP Purge Solenoid Control Circuit
1101,chevorlet,P1656,Driver 2 Line 6
1102,chevorlet,P1657,1-4 Upshift Solenoid Control Circuit
1103,chevorlet,P1658,Starter Enable Relay Control Circuit
1104,chevorlet,P1660,Cooling Fan Control Circuits
1105,chevorlet,P1661,MIL Control Circuit
1106,chevorlet,P1662,Cruise Lamp Control Circuit
1107,chevorlet,P1663,Oil Life Lamp Control Circuit
1108,chevorlet,P1664,1-4 Upshift Lamp Control Circuit
1109,chevorlet,P1665,Driver 3 Line 5
1110,chevorlet,P1666,Driver 3 Line 6
1111,chevorlet,P1667,Reverse Inhibit Solenoid Control Circuit
1112,chevorlet,P1669,ABS Unit Expected
1113,chevorlet,P1670,Driver 4
1114,chevorlet,P1671,Driver 4 Line 1
1115,chevorlet,P1672,Low Engine Oil Level Lamp Control Circuit
1116,chevorlet,P1673,Engine Hot Lamp Control Circuit
1117,chevorlet,P1674,Tachometer Control Circuit
1118,chevorlet,P1675,EVAP Vent Solenoid Control Circuit
1119,chevorlet,P1676,Driver 4 Line 6
1120,chevorlet,P1677,Driver 4 Line 7
1121,chevorlet,P1680,Driver 5
1122,chevorlet,P1681,Driver 5 Line 1
1123,chevorlet,P1682,Driver 5 Line 2
1124,chevorlet,P1683,Driver 5 Line 3
1125,chevorlet,P1684,Driver 5 Line 4
1126,chevorlet,P1685,Driver 5 Line 5
1127,chevorlet,P1686,Driver 5 Line 6
1128,chevorlet,P1687,Driver 5 Line 7
1129,chevorlet,P1689,Delivered Torque Circuit Fault
1130,chevorlet,P1690,ECM Loop Overrun
1131,chevorlet,P1691,Coolant Gage Circuit Low Voltage
1132,chevorlet,P1692,Coolant Gage Circuit High Voltage
1133,chevorlet,P1693,Tachometer Circuit Low Voltage
1134,chevorlet,P1694,Tachometer Circuit High Voltage
1135,chevorlet,P1695,Remote Keyless Entry Circuit Low
1136,chevorlet,P1696,Remote Keyless Entry Voltage High
1137,chevorlet,P1700,Transmission Control Module (TCM) Requested MILIllumination
1138,chevorlet,P1701,Trans. MIL Request Circuit
1139,chevorlet,P1705,P/N Signal Output Circuit
1140,chevorlet,P1740,Torque Reduction Signal Circuit
1141,chevorlet,P1743,TP Signal from ECM
1142,chevorlet,P1760,TCM Supply Voltage Interrupted
1143,chevorlet,P1779,Engine Torque Delivered to TCM Signal
1144,chevorlet,P1780,Park/Neutral Position [PNP] Switch Circuit
1145,chevorlet,P1781,Engine Torque Signal Circuit
1146,chevorlet,P1790,Transmission Control Module Checksum
1147,chevorlet,P1791,Transmission Control Module Loop
1148,chevorlet,P1793,Transmission Control Module Stack Overrun
1149,chevorlet,P1795,CAN Bus - Throttle Body Position
1150,chevorlet,P1800,TCM Power Relay Control Circuit
1151,chevorlet,P1801,Performance Selector Switch Failure
1152,chevorlet,P1804,Ground Control Relay
1153,chevorlet,P1810,TFP Valve Position Switch Circuit
1154,chevorlet,P1811,Maximum Adapt and Long Shift
1155,chevorlet,P1812,Transmission Over Temperature Condition
1156,chevorlet,P1813,Torque Control
1157,chevorlet,P1814,Torque Converter Overstressed
1158,chevorlet,P1815,Transmission Range Switch - Start In Wrong Range
1159,chevorlet,P1816,TFP Valve Position Sw. - Park/Neu. With Drive Ratio
1160,chevorlet,P1817,TFP Valve Position Sw. - Reverse With Drive Ratio
1161,chevorlet,P1818,TFP Valve Position Sw. - Drive Without Drive Ratio
1162,chevorlet,P1819,Internal Mode Switch - No Start/Wrong Range
1163,chevorlet,P1820,Internal Mode Switch Circuit A Low
1164,chevorlet,P1822,Internal Mode Switch Circuit B High
1165,chevorlet,P1823,Internal Mode Switch Circuit P Low
1166,chevorlet,P1825,Internal Mode Switch - Invalid Range
1167,chevorlet,P1826,Internal Mode Switch Circuit C - High
1168,chevorlet,P1831,PC Solenoid Power Circuit - Low Voltage
1169,chevorlet,P1833,A/T Solenoids Power Circuit - Low Voltage
1170,chevorlet,P1835,Kick-Down Switch Circuit
1171,chevorlet,P1836,Kick-Down Switch Failed Open
1172,chevorlet,P1837,Kick-Down Switch Failed Short
1173,chevorlet,P1842,1-2 Shift Solenoid Circuit Low Voltage
1174,chevorlet,P1843,1-2 Shift Solenoid Circuit High Voltage
1175,chevorlet,P1844,Torque Reduction Signal Circuit Desired By TCM
1176,chevorlet,P1845,2-3 Shift Solenoid Circuit Low Voltage
1177,chevorlet,P1847,2-3 Shift Solenoid Circuit High Voltage
1178,chevorlet,P1850,Brake Band Apply Solenoid Circuit
1179,chevorlet,P1851,Brake Band Apply Solenoid Performance
1180,chevorlet,P1852,Brake Band Apply SolenoidLow Voltage
1181,chevorlet,P1853,Brake Band Apply Solenoid High Voltage
1182,chevorlet,P1860,TCC PWM Solenoid Circuit Electrical
1183,chevorlet,P1864,Torque Converter Clutch Circuit
1184,chevorlet,P1868,Transmission Fluid Life
1185,chevorlet,P1870,Transmission Component Slipping
1186,chevorlet,P1871,Undefined Gear Ratio
1187,chevorlet,P1873,TCC Stator Temp. Switch Circuit Low
1188,chevorlet,P1874,TCC Stator Temp. Switch Circuit High
1189,chevorlet,P1875,4WD Low Switch Circuit Electrical
1190,chevorlet,P1884,TCC Enable/Shift Light Circuit
1191,chevorlet,P1886,Shift Timing Solenoid
1192,chevorlet,P1887,TCC Release Switch Circuit
1193,chevorlet,P1891,Throttle Position Sensor PWM Signal Low
1194,chevorlet,P1892,Throttle Position Sensor PWM Signal High
1195,chevorlet,P1893,Engine Torque Signal Low Voltage
1196,chevorlet,P1894,Engine Torque Signal High Voltage
1197,chevorlet,P1895,TCM to ECM Torque Reduction Circuit
1198,generic,P0100,Mass or Volume Air Flow Circuit Malfunction
1199,generic,P0101,Mass or Volume Air Flow Circuit Range/Performance Problem
1200,generic,P0102,Mass or Volume Air Flow Circuit Low Input
1201,generic,P0103,Mass or Volume Air Flow Circuit High Input
1202,generic,P0104,Mass or Volume Air Flow Circuit Intermittent
1203,generic,P0105,Manifold Absolute Pressure/Barometric Pressure Circuit Malfunction
1204,generic,P0106,Manifold Absolute Pressure/Barometric Pressure Circuit Range/Performance Problem
1205,generic,P0107,Manifold Absolute Pressure/Barometric Pressure Circuit Low Input
1206,generic,P0108,Manifold Absolute Pressure/Barometric Pressure Circuit High Input
1207,generic,P0111,Intake Air Temperature Circuit Range/Performance Problem
1208,generic,P0112,Intake Air Temperature Circuit Low Input
1209,generic,P0113,Intake Air Temperature Circuit High Input
1210,generic,P0114,Intake Air Temperature Circuit Intermittent
1211,generic,P0115,Engine Coolant Temperature Circuit Malfunction
1212,generic,P0116,Engine Coolant Temperature Circuit Range/Performance Problem
1213,generic,P0117,Engine Coolant Temperature Circuit Low Input
1214,generic,P0118,Engine Coolant Temperature Circuit High Input
1215,generic,P0119,Engine Coolant Temperature Circuit Intermittent
1216,generic,P0120,Throttle/Petal Position Sensor/Switch A Circuit Malfunction
1217,generic,P0121,Throttle/Petal Position Sensor/Switch A Circuit Range/Performance Problem
1218,generic,P0122,Throttle/Petal Position Sensor/Switch A Circuit Low Input
1219,generic,P0123,Throttle/Petal Position Sensor/Switch A Circuit High Input
1220,generic,P0124,Throttle/Petal Position Sensor/Switch A Circuit Intermittent
1221,generic,P0125,Insufficient Coolant Temperature for Closed Loop Fuel Control
1222,generic,P0126,Insufficient Coolant Temperature for Stable Operation
1223,generic,P0130,02 Sensor Circuit Malfunction (Bank I Sensor 1)
1224,generic,P0131,02 Sensor Circuit Low Voltage (Bank I Sensor I)
1225,generic,P0132,02 Sensor Circuit High Voltage (Bank I Sensor 1)
1226,generic,P0133,02 Sensor Circuit Slow Response (Bank 1 Sensor 1)
1227,generic,P0134,02 Sensor Circuit No Activity Detected (Bank I Sensor 1)
1228,generic,P0135,02 Sensor Heater Circuit Malfunction (Bank 1 Sensor 1)
1229,generic,P0136,02 Sensor Circuit Malfunction (Bank I Sensor 2)
1230,generic,P0137,02 Sensor Circuit Low Voltage (Bank I Sensor 2)
1231,generic,P0138,02 Sensor Circuit High Voltage (Bank I Sensor 2)
1232,generic,P0139,02 Sensor Circuit Slow Response (Bank 1 Sensor 2)
1233,generic,P0140,02 Sensor Circuit No Activity Detected (Bank 1 Sensor 2)
1234,generic,P0141,02 Sensor Heater Circuit Malfunction (Bank 1 Sensor 2)
1235,generic,P0142,02 Sensor Circuit Malfunction (Bank I Sensor 3)
1236,generic,P0143,02 Sensor Circuit Low Voltage (Bank I Sensor 3)
1237,generic,P0144,02 Sensor Circuit High Voltage (Bank I Sensor 3)
1238,generic,P0145,02 Sensor Circuit Slow Response (Bank 1 Sensor 3)
1239,generic,P0146,02 Sensor Circuit No Activity Detected (Bank I Sensor 3)
1240,generic,P0147,02 Sensor Heater Circuit Malfunction (Bank I Sensor 3)
1241,generic,P0150,02 Sensor Circuit Malfunction (Bank 2 Sensor I)
1242,generic,P0151,02 Sensor Circuit Low Voltage (Bank 2 Sensor I)
1243,generic,P0152,02 Sensor Circuit High Voltage (Bank 2 Sensor 1)
1244,generic,P0153,02 Sensor Circuit Slow Response (Bank 2 Sensor 1)
1245,generic,P0154,02 Sensor Circuit No Activity Detected (Bank 2 Sensor 1)
1246,generic,P0155,02 Sensor Heater Circuit Malfunction (Bank 2 Sensor 1)
1247,generic,P0156,02 Sensor Circuit Malfunction (Bank 2 Sensor 2)
1248,generic,P0157,02 Sensor Circuit Low Voltage (Bank 2 Sensor 2)
1249,generic,P0158,02 Sensor Circuit High Voltage (Bank 2 Sensor 2)
1250,generic,P0159,02 Sensor Circuit Slow Response (Bank 2 Sensor 2)
1251,generic,P0160,02 Sensor Circuit No Activity Detected (Bank 2 Sensor 2)
1252,generic,P0161,02 Sensor Heater Circuit Malfunction (Bank 2 Sensor 2)
1253,generic,P0162,02 Sensor Circuit Malfunction (Bank 2 Sensor 3)
1254,generic,P0163,02 Sensor Circuit Low Voltage (Bank 2 Sensor 3)
1255,generic,P0164,02 Sensor Circuit High Voltage (Bank 2 Sensor 3)
1256,generic,P0165,02 Sensor Circuit Slow Response (Bank 2 Sensor 3)
1257,generic,P0166,02 Sensor Circuit No Activity Detected (Bank 2 Sensor 3)
1258,generic,P0167,02 Sensor Heater Circuit Malfunction (Bank 2 Sensor 3)
1259,generic,P0170,Fuel Trim Malfunction (Bank 1)
1260,generic,P0171,System too Lean (Bank 1)
1261,generic,P0172,System too Rich (Bank 1)
1262,generic,P0173,Fuel Trim Malfunction (Bank 2)
1263,generic,P0174,System too Lean (Bank 2)P0175 System too Rich (Bank 2)
